as_of,range,candidates
2026-09-13,601–1200,574
2026-09-13,501–600,20784
2026-09-13,451–500,72107
2026-09-13,401–450,61560
2026-09-13,351–400,46782
2026-09-13,301–350,17240
2026-09-13,0–300,7746
